�FREUNDE|FILMLISTE|2020�;;;;;;;;;
Film-Reviewer Erich und Eckert;;;;;;;;;
;;;;;;;;;
"Film
(Deutscher Titel)";"Film
(Originaltitel)";Ersch. Jahr;Filmreihe;FSK;"L�nge
(min)";Gesehen am; Bewertung ;;
Nackt und zerfleischt;Cannibal Holocaust;1980;Cannibal Holocaust;N.E.;96;?; 6,50 ;;
Shining;The Shining;1980;The Shining;16;119;?; 6,50 ;;
Final Destination 3;Final Destination 3;2006;Final Destination;18;93;?; 6,50 ;;
Das Belko Experiment;The Belko Experiment;2016;The Belko Experiment;18;88;?; 6,50 ;;
Blair Witch;Blair Witch;2016;Blair Witch;16;89;?; 6,50 ;;
ES Kapitel 2;IT Chapter Two;2019;IT;16;170;?; 6,50 ;;
Hostel 3;Hostel: Part III;2011;Hostel;18;88;06.06.2017; 6,25 ;;
Black Mirror: Bandersnatch;Black Mirror: Bandersnatch;2018;Black Mirror;16;300;11.01.2019; 6,25 ;;
Bird Box - Schlie�e deine Augen;Bird Box;2018;Bird Box;16;124;08.02.2019; 6,25 ;;
Der Biss der Klapperschlange;Rattlesnake;2019;Rattlesnake;16;85;15.11.2019; 6,25 ;;
Katakomben;As Above, So Below;2014;As Above, So Below;16;93;?; 6,25 ;;
The Purge: Anarchy;The Purge: Anarchy;2014;The Purge;16;103;?; 6,25 ;;
Ver�nica - Spiel mit dem Teufel;Ver�nica;2017;Ver�nica;16;110;26.02.2018; 6,00 ;;
The Ritual;The Ritual;2017;The Ritual;16;94;15.09.2018; 6,00 ;;
Elizabeth Harvest (MM);Elizabeth Harvest;2018;Elizabeth Harvest;16;105;18.01.2019; 6,00 ;;
Life;Life;2017;Life;16;104;15.03.2019; 6,00 ;;
Winchester - Das Haus der Verdammten;Winchester;2018;Winchester;16;100;17.03.2020; 6,00 ;;
28 Weeks Later;28 Weeks Later;2007;28 Days Later;18;100;07.04.2020; 6,00 ;;
The Nun;The Nun;2018;The Conjuring Universe;16;96;14.05.2020; 6,00 ;;
Matrix;The Matrix;1999;The Matrix;16;136;?; 6,00 ;;
28 Tage sp�ter;28 Days Later;2002;28 Days Later;18;113;?; 6,00 ;;
The Descend - Abgrund des Grauens;The Descend;2005;The Descend;18;99;?; 6,00 ;;
Funny Games U.S.;Funny Games;2007;Funny Games;18;107;?; 6,00 ;;
